EBNO,Mod,RateRS,RateConv,BerEst
-0.299999999999999,2FSK,[223 255],'2/3',0
-0.199999999999999,2FSK,[223 255],'2/3',0.45067264573991
-0.0999999999999996,2FSK,[223 255],'2/3',0
0,2FSK,[223 255],'2/3',0.481782511210762
0.100000000000001,2FSK,[223 255],'2/3',0
0.200000000000001,2FSK,[223 255],'2/3',0.490470852017937
0.300000000000001,2FSK,[223 255],'2/3',0
0.4,2FSK,[223 255],'2/3',0.455437219730942
0.5,2FSK,[223 255],'2/3',0
0.600000000000001,2FSK,[223 255],'2/3',0.487387892376682
0.700000000000001,2FSK,[223 255],'2/3',0
0.800000000000001,2FSK,[223 255],'2/3',0.436939461883408
0.9,2FSK,[223 255],'2/3',0
1,2FSK,[223 255],'2/3',0.45627802690583
1.1,2FSK,[223 255],'2/3',0
1.2,2FSK,[223 255],'2/3',0.422365470852018
1.3,2FSK,[223 255],'2/3',0
1.4,2FSK,[223 255],'2/3',0.384809417040359
1.5,2FSK,[223 255],'2/3',0
1.6,2FSK,[223 255],'2/3',0.384248878923767
1.7,2FSK,[223 255],'2/3',0
1.8,2FSK,[223 255],'2/3',0.346132286995516
1.9,2FSK,[223 255],'2/3',0
2,2FSK,[223 255],'2/3',0.348094170403587
2.1,2FSK,[223 255],'2/3',0
2.2,2FSK,[223 255],'2/3',0.322029147982063
2.3,2FSK,[223 255],'2/3',0
2.4,2FSK,[223 255],'2/3',0.328195067264574
2.5,2FSK,[223 255],'2/3',0
2.6,2FSK,[223 255],'2/3',0.285687593423019
2.7,2FSK,[223 255],'2/3',0
2.8,2FSK,[223 255],'2/3',0.24906576980568
2.9,2FSK,[223 255],'2/3',0
3,2FSK,[223 255],'2/3',0.206464872944694
3.1,2FSK,[223 255],'2/3',0
3.2,2FSK,[223 255],'2/3',0.155689461883408
3.3,2FSK,[223 255],'2/3',0
3.4,2FSK,[223 255],'2/3',0.193946188340807
3.5,2FSK,[223 255],'2/3',0
3.6,2FSK,[223 255],'2/3',0.163396860986547
3.7,2FSK,[223 255],'2/3',0
3.8,2FSK,[223 255],'2/3',0.129596412556054
3.9,2FSK,[223 255],'2/3',0
4,2FSK,[223 255],'2/3',0.0869634849455477
4.1,2FSK,[223 255],'2/3',0
4.2,2FSK,[223 255],'2/3',0.0770039237668161
4.3,2FSK,[223 255],'2/3',0
4.4,2FSK,[223 255],'2/3',0.0790358744394619
4.5,2FSK,[223 255],'2/3',0
4.6,2FSK,[223 255],'2/3',0.0481128550074738
4.7,2FSK,[223 255],'2/3',0
4.8,2FSK,[223 255],'2/3',0.0317146565966486
4.9,2FSK,[223 255],'2/3',0
5,2FSK,[223 255],'2/3',0.0230467402552604
5.1,2FSK,[223 255],'2/3',0
5.2,2FSK,[223 255],'2/3',0.0113565022421525
5.3,2FSK,[223 255],'2/3',0
5.4,2FSK,[223 255],'2/3',0.00671978432628657
5.5,2FSK,[223 255],'2/3',0
5.6,2FSK,[223 255],'2/3',0.00214023644516918
5.7,2FSK,[223 255],'2/3',0
5.8,2FSK,[223 255],'2/3',0.000424588231067447
5.9,2FSK,[223 255],'2/3',0
6,2FSK,[223 255],'2/3',0.000116178263222979
6.1,2FSK,[223 255],'2/3',0
6.2,2FSK,[223 255],'2/3',2.18448213792645e-05
6.3,2FSK,[223 255],'2/3',0
6.4,2FSK,[223 255],'2/3',3.90998686244414e-06
6.5,2FSK,[223 255],'2/3',0
6.6,2FSK,[223 255],'2/3',4.09998622404629e-07
6.7,2FSK,[223 255],'2/3',0
6.8,2FSK,[223 255],'2/3',0
6.9,2FSK,[223 255],'2/3',0
7,2FSK,[223 255],'2/3',0
7.1,2FSK,[223 255],'2/3',0
7.2,2FSK,[223 255],'2/3',0
7.3,2FSK,[223 255],'2/3',0
7.4,2FSK,[223 255],'2/3',0
7.5,2FSK,[223 255],'2/3',0
7.6,2FSK,[223 255],'2/3',0
7.7,2FSK,[223 255],'2/3',0
7.8,2FSK,[223 255],'2/3',0
7.9,2FSK,[223 255],'2/3',0
8,2FSK,[223 255],'2/3',0
8.1,2FSK,[223 255],'2/3',0
8.2,2FSK,[223 255],'2/3',0
8.3,2FSK,[223 255],'2/3',0
8.4,2FSK,[223 255],'2/3',0
8.5,2FSK,[223 255],'2/3',0
8.6,2FSK,[223 255],'2/3',0
8.7,2FSK,[223 255],'2/3',0
8.8,2FSK,[223 255],'2/3',0
8.9,2FSK,[223 255],'2/3',0
9,2FSK,[223 255],'2/3',0
9.1,2FSK,[223 255],'2/3',0
9.2,2FSK,[223 255],'2/3',0
9.3,2FSK,[223 255],'2/3',0
9.4,2FSK,[223 255],'2/3',0
9.5,2FSK,[223 255],'2/3',0
9.6,2FSK,[223 255],'2/3',0
9.7,2FSK,[223 255],'2/3',0
9.8,2FSK,[223 255],'2/3',0
9.9,2FSK,[223 255],'2/3',0
10,2FSK,[223 255],'2/3',0
10.1,2FSK,[223 255],'2/3',0
10.2,2FSK,[223 255],'2/3',0
10.3,2FSK,[223 255],'2/3',0
10.4,2FSK,[223 255],'2/3',0
10.5,2FSK,[223 255],'2/3',0
10.6,2FSK,[223 255],'2/3',0
10.7,2FSK,[223 255],'2/3',0
10.8,2FSK,[223 255],'2/3',0
10.9,2FSK,[223 255],'2/3',0
11,2FSK,[223 255],'2/3',0
11.1,2FSK,[223 255],'2/3',0
11.2,2FSK,[223 255],'2/3',0
11.3,2FSK,[223 255],'2/3',0
11.4,2FSK,[223 255],'2/3',0
11.5,2FSK,[223 255],'2/3',0
11.6,2FSK,[223 255],'2/3',0
11.7,2FSK,[223 255],'2/3',0
11.8,2FSK,[223 255],'2/3',0
11.9,2FSK,[223 255],'2/3',0
12,2FSK,[223 255],'2/3',0
12.1,2FSK,[223 255],'2/3',0
12.2,2FSK,[223 255],'2/3',0
12.3,2FSK,[223 255],'2/3',0
12.4,2FSK,[223 255],'2/3',0
12.5,2FSK,[223 255],'2/3',0
12.6,2FSK,[223 255],'2/3',0
12.7,2FSK,[223 255],'2/3',0
12.8,2FSK,[223 255],'2/3',0
12.9,2FSK,[223 255],'2/3',0
13,2FSK,[223 255],'2/3',0
13.1,2FSK,[223 255],'2/3',0
13.2,2FSK,[223 255],'2/3',0
13.3,2FSK,[223 255],'2/3',0
13.4,2FSK,[223 255],'2/3',0
13.5,2FSK,[223 255],'2/3',0
13.6,2FSK,[223 255],'2/3',0
13.7,2FSK,[223 255],'2/3',0
13.8,2FSK,[223 255],'2/3',0
13.9,2FSK,[223 255],'2/3',0
14,2FSK,[223 255],'2/3',0
14.1,2FSK,[223 255],'2/3',0
14.2,2FSK,[223 255],'2/3',0
14.3,2FSK,[223 255],'2/3',0
14.4,2FSK,[223 255],'2/3',0
14.5,2FSK,[223 255],'2/3',0
14.6,2FSK,[223 255],'2/3',0
14.7,2FSK,[223 255],'2/3',0
14.8,2FSK,[223 255],'2/3',0
14.9,2FSK,[223 255],'2/3',0
15,2FSK,[223 255],'2/3',0
15.1,2FSK,[223 255],'2/3',0
15.2,2FSK,[223 255],'2/3',0
15.3,2FSK,[223 255],'2/3',0
15.4,2FSK,[223 255],'2/3',0
15.5,2FSK,[223 255],'2/3',0
15.6,2FSK,[223 255],'2/3',0
15.7,2FSK,[223 255],'2/3',0
15.8,2FSK,[223 255],'2/3',0
15.9,2FSK,[223 255],'2/3',0
16,2FSK,[223 255],'2/3',0
16.1,2FSK,[223 255],'2/3',0
16.2,2FSK,[223 255],'2/3',0
16.3,2FSK,[223 255],'2/3',0
16.4,2FSK,[223 255],'2/3',0
16.5,2FSK,[223 255],'2/3',0
16.6,2FSK,[223 255],'2/3',0
16.7,2FSK,[223 255],'2/3',0
16.8,2FSK,[223 255],'2/3',0
16.9,2FSK,[223 255],'2/3',0
17,2FSK,[223 255],'2/3',0
17.1,2FSK,[223 255],'2/3',0
17.2,2FSK,[223 255],'2/3',0
17.3,2FSK,[223 255],'2/3',0
17.4,2FSK,[223 255],'2/3',0
17.5,2FSK,[223 255],'2/3',0
17.6,2FSK,[223 255],'2/3',0
17.7,2FSK,[223 255],'2/3',0
17.8,2FSK,[223 255],'2/3',0
17.9,2FSK,[223 255],'2/3',0
18,2FSK,[223 255],'2/3',0
18.1,2FSK,[223 255],'2/3',0
18.2,2FSK,[223 255],'2/3',0
18.3,2FSK,[223 255],'2/3',0
18.4,2FSK,[223 255],'2/3',0
18.5,2FSK,[223 255],'2/3',0
18.6,2FSK,[223 255],'2/3',0
18.7,2FSK,[223 255],'2/3',0
18.8,2FSK,[223 255],'2/3',0
18.9,2FSK,[223 255],'2/3',0
19,2FSK,[223 255],'2/3',0
19.1,2FSK,[223 255],'2/3',0
19.2,2FSK,[223 255],'2/3',0
19.3,2FSK,[223 255],'2/3',0
19.4,2FSK,[223 255],'2/3',0
19.5,2FSK,[223 255],'2/3',0
19.6,2FSK,[223 255],'2/3',0
19.7,2FSK,[223 255],'2/3',0
19.8,2FSK,[223 255],'2/3',0
19.9,2FSK,[223 255],'2/3',0
20,2FSK,[223 255],'2/3',0
-10,2FSK,[223 255],'3/4',0.493273542600897
-9.9,2FSK,[223 255],'3/4',0
-9.8,2FSK,[223 255],'3/4',0.506446188340807
-9.7,2FSK,[223 255],'3/4',0
